,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.9139354212187424,0.9370138331996792,0.70018281535649,0.41271551724137934,0.5193220338983051,0.4955921934895615
Decision Tree,0.8956057295460063,0.7534894039813199,0.5343434343434343,0.5700431034482759,0.5516162669447341,0.49294196603812457
kNN,0.9053168244719592,0.8616761846077645,0.6267123287671232,0.39439655172413796,0.48412698412698413,0.449125984558675
Naive Bayes,0.85360524399126,0.860641864003019,0.4023876404494382,0.6174568965517241,0.4872448979591837,0.41893814652819206
Random Forest,0.9204904102937607,0.9491485447426765,0.6898470097357441,0.5344827586206896,0.6023072252580449,0.5645449977189367
XGBoost,0.9167273610099539,0.9495240046700316,0.650497512437811,0.5635775862068966,0.6039260969976905,0.5594561729561016
